sampleID,depth,Al,Ti,Fe,Mn,Ca,Mg,Na,K,P
4C-01H-1W,0.2,8.34,0.52,5.34,0.286,4.04,1.71,1.86,2.15,0.085
4C-01H-2W,2.36,7.56,0.539,5.75,0.307,0.5,1.48,1.85,2.07,0.084
4C-02H-2W,5.62,7.84,0.468,4.67,0.149,0.46,1.13,1.7,1.9,0.075
3A-01H-4W,8.52,8.58,0.503,5.06,0.288,0.5,1.17,1.85,2.08,0.093
4C-03H-3W,12.41,7.46,0.494,5.06,0.089,0.42,1.15,1.84,2.1,0.093
2A-05X-2W,20.83,8.49,0.52,6.21,0.097,0.4,1.13,1.74,1.99,0.127
4C-06X-2W,22.01,8.82,0.504,6.16,0.079,0.4,1.22,1.69,1.89,0.12
2A-06X-2W,22.77,8.6,0.54,5.59,0.458,0.52,1.19,1.89,1.92,0.107
2A-07X-1W,27.02,7.59,0.496,5.59,0.059,0.46,1.12,1.87,2.02,0.108
2A-08X-1W,30.82,7.89,0.507,5.38,0.14,0.46,1.13,1.86,2.05,0.099
2A-10X-2W,41.52,8.71,0.514,4.84,0.2,0.47,1.04,1.85,2.14,0.093
2A-11X-2W,45.29,8.47,0.499,5.35,0.69,0.46,1,1.84,2.03,0.115
2A-12X-3W,50.84,8.76,0.513,5.03,0.269,0.46,1.04,1.69,1.99,0.066
2A-12X-3W,50.84,8.07,0.514,5.07,0.269,0.43,1.05,1.68,2.02,0.07
2A-14X-3W,57.7,6.32,0.519,5.54,0.096,0.33,0.92,1.68,1.87,0.104
2A-16X-2W,66.55,7.9,0.541,6.4,0.189,0.37,1.17,1.55,1.93,0.086
2A-17X-2W,70.34,8.74,0.519,6.22,0.072,0.37,0.97,1.65,2,0.149
2A-20X-1W,81.39,8.71,0.517,5.06,0.028,0.36,1.03,1.72,1.94,0.073
2A-20X-2W,82.71,8.84,0.507,5.16,1.097,0.43,1.05,1.44,1.77,0.064
2A-20X-3W,85.1,7.57,0.532,4.95,0.029,0.32,1.01,1.56,1.97,0.075
2A-22X-1W,90.97,8.68,0.522,5.3,0.18,0.38,1.03,1.75,2.05,0.098
2A-25X-2W,107.21,9.34,0.517,4.63,0.071,0.33,1,1.68,2.05,0.068
2A-26X-2W,111.89,9.04,0.535,4.58,0.169,0.31,0.9,1.71,2.01,0.074
2A-29X-2W,124.7,8.2,0.479,4.39,0.051,0.35,0.81,1.59,1.74,0.078
2A-30X-1W,128.39,8.11,0.527,4.53,0.029,0.29,0.95,1.58,1.84,0.064
2A-30X-2W,129.71,6.34,0.522,4.82,0.026,0.26,0.81,1.53,1.73,0.082
2A-30X-3W,131.4,8.21,0.498,5.51,0.051,0.3,0.95,1.59,1.85,0.094
2A-32X-2W,136.2,9.47,0.529,3.86,0.026,0.27,1,1.64,2.02,0.043
2A-32X-2W(25B),136.2,9.37,0.539,3.71,0.023,0.27,0.98,1.66,2.08,0.045
2A-32X-4W,139.41,8.91,0.543,4.76,0.037,0.27,0.95,1.74,2.02,0.078
2A-33X-2,142.7,9.28,0.511,6.28,0.083,0.27,0.99,1.48,1.97,0.107
2A-34X-2W,145.69,8.35,0.488,7.43,1.09,0.77,1.07,1.45,1.86,0.239
2A-35X-2W,149.27,9.52,0.537,6.2,0.24,0.29,0.97,1.55,2.08,0.121
2A-35X-5W,153.98,9.01,0.497,7.26,0.086,0.32,0.88,1.58,1.92,0.193
2A-38X-4W,164.78,9.58,0.511,6.19,0.682,0.3,0.98,1.55,1.85,0.117
2A-42X-2W,179.36,9.25,0.495,6.03,1.011,0.32,0.95,1.64,2.1,0.119
2A-44X-2W,188.68,9.48,0.505,2.82,0.027,0.3,0.81,1.57,2.22,0.045
2A-48X-3,205.86,6.38,0.378,8.62,0.031,0.19,0.82,0.69,1.07,0.033
2A-49X-5W,212.24,7.31,0.424,8.14,0.029,0.25,0.93,0.96,1.31,0.034
4B-03X-2W,215.14,6.04,0.355,8.1,0.025,0.22,0.84,0.98,1.07,0.025
4B-03X-2W,215.14,7.08,0.384,8.06,0.025,0.2,0.87,1.06,1.17,0.027
2A-52X-2W,221.32,3.78,0.219,4.8,0.093,0.56,0.57,1.48,0.98,0.09
2A-53X-2W,223.95,4.51,0.244,5.77,0.092,0.38,0.68,1.58,1.07,0.032
2A-55X-2W,231.78,2.75,0.149,4.8,0.088,0.36,0.47,1.52,0.61,0.026
2A-56X-2W,237.66,3.96,0.221,5.08,0.078,0.43,0.58,1.38,0.81,0.057
2A-57X-2W,242.16,3.39,0.178,4.76,0.073,0.53,0.53,1.7,0.89,0.085
2A-61X-2,261.6,3.25,0.153,5.35,0.078,0.36,0.54,1.38,0.66,0.035
2A-62X-2,266.54,3.29,0.157,5.22,0.075,0.39,0.59,1.42,0.76,0.049
4A-08X-1W,273.8,3.28,0.155,5.3,0.071,0.44,0.66,1.39,0.58,0.054
4A-09X-1W,278.8,3.66,0.158,6.22,0.082,0.61,0.71,1.4,0.62,0.132
4A-15X-CC,313.35,2.54,0.116,4.87,0.05,0.55,0.52,0.37,0.45,0.109
4A-19X-1,313.43,2.83,0.124,5.75,0.062,0.31,0.52,0.8,0.6,0.03
4A-19X-2W,314.15,4.21,0.187,6.94,0.074,0.36,0.89,1.11,0.85,0.03
4A-21X-2W,322.93,2.36,0.099,4.18,0.055,0.3,0.41,0.97,0.55,0.036
4A-23X-1,334.5,3.74,0.164,5.36,0.063,0.39,0.69,0.92,0.85,0.043
4A-23X-2W,335.23,2.26,0.098,3.54,0.042,0.28,0.4,0.89,0.52,0.021
4A-27X-2W,361.02,8.35,0.417,7.09,0.012,0.51,0.92,1.35,2.47,0.077
4A-28X-2W,365.4,9.3,0.616,4.8,0.019,0.41,1.06,1.21,2.31,0.038
4A-29X-1W,369.27,8.72,0.485,2.39,0.018,0.41,0.95,1.36,2.34,0.031
4A-30X-2,374.7,8.8,0.378,9.05,0.137,0.53,1.03,1.02,2.48,0.086
4A-34X-2,390.41,10.45,0.569,3.76,0.018,0.48,0.85,0.93,2.91,0.099
4A-35X-2W,394.91,9.89,0.585,3.53,0.022,0.41,0.86,1.08,2.57,0.074
4A-42X-1W,418.48,8.41,0.712,4.41,0.069,0.55,0.68,0.82,1.66,0.103
4A-42X-1W,418.48,8.33,0.699,4.21,0.067,0.55,0.67,0.94,2.1,0.096
