environment,log_O2,log_weight
marine,1.59,2.505
marine,1.396,2.037
marine,1.467,2.155
marine,1.659,2.352
marine,1.553,2.241
marine,1.591,2.274
marine,1.525,2.155
marine,1.499,2.017
freshwater,1.305,2.14
freshwater,1.599,2.562
freshwater,1.412,2.146
freshwater,1.573,2.263
freshwater,1.524,2.344
freshwater,1.464,2.31
freshwater,1.564,2.408
freshwater,1.042,2.13
freshwater,1.308,2.255
freshwater,1.619,2.559
freshwater,1.445,2.364
freshwater,1.485,2.335
freshwater,1.224,2.111
freshwater,1.403,2.111
