Site Identification  ,Plot,Day,Month,Year,Tree Identification Number,Number of Stems,Tree Species,DBH  (cm),Tree Condition
Identification du site,Parcelle,Jour,Mois,Année,Numéro d'identification de l'arbre ,Nombre de tiges,Espèce d'arbre,DHP (cm),État de l'arbre
BD,A,31,8,2004,1,1,TSCA,16.3,AS
BD,A,31,8,2004,2,1,TSCA,24,AS
BD,A,31,8,2004,3,1,TSCA,76.5,DS
BD,A,31,8,2004,4,1,ACRU,38.5,DL
BD,A,31,8,2004,5,1,TSCA,63.2,DF
BD,A,31,8,2004,6,1,TSCA,29.8,AS
BD,A,31,8,2004,7,1,ACRU,29,AS
BD,A,31,8,2004,8,1,TSCA,15.5,AS
BD,A,31,8,2004,9,1,TSCA,32,AS
BD,A,31,8,2004,10,1,TSCA,11.3,AL
BD,A,31,8,2004,11,1,TSCA,44.8,AS
BD,A,31,8,2004,12,1,TSCA,17.2,AL
BD,A,31,8,2004,13,1,TSCA,70.5,AS
BD,A,31,8,2004,14,1,TSCA,31.7,AS
BD,A,31,8,2004,15,1,ACRU,42.9,AS
BD,A,31,8,2004,16,1,ACRU,18,AS
BD,A,31,8,2004,17,1,TSCA,46,AS
BD,A,31,8,2004,18,1,TSCA,19.5,AS
BD,A,31,8,2004,19,1,TSCA,11.6,DS
BD,A,31,8,2004,20,1,TSCA,38,AS
BD,A,31,8,2004,21,1,TSCA,12.3,DF
BD,A,31,8,2004,22,1,TSCA,10.1,AS
BD,A,31,8,2004,23,1,TSCA,9.2,AS
BD,A,31,8,2004,24,1,BEPA,24.7,DS
BD,A,31,8,2004,25,1,TSCA,9.9,AS
BD,A,31,8,2004,26,1,TSCA,47.7,AS
BD,A,31,8,2004,27,1,TSCA,28,AS
BD,A,31,8,2004,28,1,TSCA,8.8,AS
BD,B,26,8,2004,1,1,ACRU,32.5,AS
BD,B,26,8,2004,2,1,TSCA,9.8,DS
BD,B,26,8,2004,3,1,PIRU,9.1,AS
BD,B,26,8,2004,4,1,ACRU,29.8,AS
BD,B,26,8,2004,5,1,TSCA,10.2,AS
BD,B,26,8,2004,6,1,TSCA,9.8,AS
