site,parcelle,jour,mois,annee,num_arbre,nb_tiges,espece,dhp
BD,A,31,8,2004,1,1,TSCA,16.3
BD,A,31,8,2004,2,1,TSCA,24
BD,A,31,8,2004,6,1,TSCA,29.8
BD,A,31,8,2004,7,1,ACRU,29
BD,A,31,8,2004,8,1,TSCA,15.5
BD,A,31,8,2004,9,1,TSCA,32
BD,A,31,8,2004,10,1,TSCA,11.3
BD,A,31,8,2004,11,1,TSCA,44.8
BD,A,31,8,2004,12,1,TSCA,17.2
BD,A,31,8,2004,13,1,TSCA,70.5
BD,A,31,8,2004,14,1,TSCA,31.7
BD,A,31,8,2004,15,1,ACRU,42.9
BD,A,31,8,2004,16,1,ACRU,18
BD,A,31,8,2004,17,1,TSCA,46
BD,A,31,8,2004,18,1,TSCA,19.5
BD,A,31,8,2004,20,1,TSCA,38
BD,A,31,8,2004,22,1,TSCA,10.1
BD,A,31,8,2004,23,1,TSCA,9.2
BD,A,31,8,2004,25,1,TSCA,9.9
BD,A,31,8,2004,26,1,TSCA,47.7
BD,A,31,8,2004,27,1,TSCA,28
BD,A,31,8,2004,28,1,TSCA,8.8
BD,B,26,8,2004,1,1,ACRU,32.5
BD,B,26,8,2004,3,1,PIRU,9.1
BD,B,26,8,2004,4,1,ACRU,29.8
BD,B,26,8,2004,5,1,TSCA,10.2
BD,B,26,8,2004,6,1,TSCA,9.8
BD,B,26,8,2004,7,1,PIRU,15.3
BD,B,26,8,2004,8,1,TSCA,12.4
BD,B,26,8,2004,9,1,TSCA,9
BD,B,26,8,2004,10,1,PIRU,20.1
BD,B,26,8,2004,11,1,ABBA,9
BD,B,26,8,2004,13,1,TSCA,9
BD,B,26,8,2004,14,1,ACRU,33
BD,B,26,8,2004,15,1,TSCA,12.4
BD,B,26,8,2004,16,1,TSCA,9
BD,B,26,8,2004,17,1,TSCA,9.3
BD,B,26,8,2004,18,1,TSCA,9
BD,B,26,8,2004,20,1,TSCA,9.3
BD,B,26,8,2004,22,1,TSCA,60
BD,B,26,8,2004,23,1,TSCA,52
BD,B,26,8,2004,24,1,PIRU,25
BD,B,26,8,2004,25,1,ACRU,33.8
BD,B,26,8,2004,26,1,TSCA,31.7
BD,B,26,8,2004,27,1,PIST,80.55
CFR,A,16,8,2004,1,1,PIRU,15
CFR,A,16,8,2004,2,1,PIRU,16.35
CFR,A,16,8,2004,3,1,PIRU,13.8
CFR,A,16,8,2004,4,1,PIRU,22.8
CFR,A,16,8,2004,5,1,PIRU,12.8
CFR,A,16,8,2004,6,1,PIRU,12
CFR,A,16,8,2004,7,1,PIRU,8.9
CFR,A,16,8,2004,8,1,PIRU,9.2
CFR,A,16,8,2004,9,1,TSCA,38.4
CFR,A,16,8,2004,10,1,PIRU,9.1
CFR,A,16,8,2004,11,1,PIRU,18
CFR,A,16,8,2004,12,1,PIRU,24.4
CFR,A,16,8,2004,12,1,TSCA,43
CFR,A,16,8,2004,13,1,PIRU,15.3
CFR,A,16,8,2004,14,1,PIRU,15.2
CFR,A,16,8,2004,15,1,PIRU,10.1
CFR,A,16,8,2004,16,1,TSCA,46.4
CFR,A,16,8,2004,19,1,PIRU,39.9
CFR,A,16,8,2004,20,1,PIRU,17.4
CFR,A,16,8,2004,21,1,PIRU,19.7
CFR,A,16,8,2004,22,1,PIST,15.8
CFR,A,16,8,2004,24,1,PIRU,22.2
CFR,A,16,8,2004,27,1,PIRU,22.35
CFR,A,16,8,2004,28,1,TSCA,23.3
CFR,A,16,8,2004,33,1,TSCA,27.6
CFR,A,16,8,2004,34,3,BEPA,17.8
CFR,A,16,8,2004,34,2,BEPA,19.7
CFR,A,16,8,2004,34,1,BEPA,22.7
CFR,A,16,8,2004,35,1,TSCA,24.5
CFR,A,16,8,2004,36,1,PIRU,19.6
CFR,A,16,8,2004,37,1,TSCA,20.7
CFR,A,16,8,2004,38,1,PIRU,15.4
CFR,A,16,8,2004,40,1,TSCA,29.8
CFR,A,16,8,2004,41,1,PIRU,15.85
CFR,A,16,8,2004,43,1,PIRU,21.5
CFR,A,16,8,2004,46,1,PIRU,12.7
CFR,A,16,8,2004,47,1,TSCA,13.4
CFR,A,16,8,2004,51,1,PIRU,10.6
CFR,B,17,8,2004,1,1,FAGR,10.1
CFR,B,17,8,2004,3,1,ACRU,25.02
CFR,B,17,8,2004,6,1,TSCA,76.8
CFR,B,17,8,2004,7,1,FAGR,10.3
CFR,B,17,8,2004,9,1,TSCA,66.4
CFR,B,17,8,2004,10,1,FAGR,10
CFR,B,17,8,2004,11,1,FAGR,12
CFR,B,17,8,2004,12,1,TSCA,74.8
CFR,B,17,8,2004,13,1,QURU,33.2
CFR,B,17,8,2004,15,1,FAGR,16.1
CL,A,18,8,2004,1,1,ACRU,28.1
CL,A,18,8,2004,2,2,ACRU,23.8
CL,A,18,8,2004,2,1,ACRU,29.4
CL,A,18,8,2004,4,1,ABBA,11.4
CL,A,18,8,2004,7,1,ACRU,39.8
CL,A,18,8,2004,8,1,ABBA,15.1
CL,A,18,8,2004,9,1,PIST,14.6
CL,A,18,8,2004,11,1,ACRU,10.5
CL,A,18,8,2004,12,1,BECO,33.1
CL,A,18,8,2004,13,1,BECO,22
CL,A,18,8,2004,14,1,ACRU,46.2
CL,A,18,8,2004,15,1,BECO,28.1
CL,A,18,8,2004,16,1,ABBA,9
CL,A,18,8,2004,17,1,BECO,26
CL,A,18,8,2004,18,1,ABBA,9.1
CL,A,18,8,2004,19,2,ACRU,19.9
CL,A,18,8,2004,19,1,ACRU,33.9
CL,A,18,8,2004,22,1,ACRU,10.8
CL,A,18,8,2004,23,1,ACRU,22
CL,A,18,8,2004,25,1,ACRU,29.2
CL,A,18,8,2004,26,1,ABBA,9.4
CL,A,18,8,2004,27,1,ACRU,10.5
CL,A,18,8,2004,29,1,BECO,13.1
CL,A,18,8,2004,30,1,ACRU,34
CL,A,18,8,2004,32,1,BECO,30.1
CL,B,18,8,2004,1,1,BEAL,37.2
CL,B,18,8,2004,2,1,FAGR,34.1
CL,B,18,8,2004,3,1,BEAL,35
CL,B,18,8,2004,4,1,FAGR,9.1
CL,B,18,8,2004,5,1,ACRU,36
CL,B,18,8,2004,6,1,FAGR,25.2
CL,B,18,8,2004,7,1,ACRU,48.5
CL,B,18,8,2004,8,1,FAGR,19.1
CL,B,18,8,2004,10,1,FAGR,19.4
